id,timestamp,text,brand,surface,confidence,method,error
10,2025-10-20T11:00:00Z,battery life of galaxy fold 5,Samsung,,0.7,alias-only,
11,2025-10-20T11:05:00Z,how long does pixel 9 battery last,Google,,0.95,regex-hint,
12,2025-10-20T11:10:00Z,oppo find x7 pro charging speed,,,0.0,none,
1,2025-10-20T10:00:00Z,Are Samsung and LG making their media products more sustainable or energy-efficient?,Samsung,Samsung,0.999,ner(org),
2,2025-10-20T10:01:00Z,Are there any upcoming deals or discounts on smart TVs from Samsung or Philips?,Samsung,Samsung,0.999,ner(org),
3,2025-10-20T10:02:00Z,Can you compare the smart features of Samsung Smart TVs and Sony Bravia?,Samsung,,0.7,alias-only,
4,2025-10-20T10:03:00Z,Can you help me choose between Samsung’s The Frame and Sony’s A80L for a living room setup?,Samsung,Samsung,0.998,ner(org),
5,2025-10-20T10:04:00Z,Can you help me write a script for a podcast episode on media literacy?,,,0.0,none,
6,2025-10-20T10:05:00Z,Can you list the top-rated 4K projectors for home cinema from brands like Epson,Epson,Epson,0.946,ner(org),
7,2025-10-20T10:06:00Z,Can you summarize the most discussed topics in entertainment news this week?,,,0.0,none,
8,2025-10-20T10:07:00Z,How are augmented reality and virtual reality being used in media storytelling?,,,0.0,none,
9,2025-10-20T10:08:00Z,How can we detect deepfakes and AI-generated misinformation in news media?,,,0.0,none,
10,2025-10-20T10:09:00Z,How do algorithms on platforms like YouTube and Netflix influence what people watch?,Youtube,YouTube,0.955,ner(org),
11,2025-10-20T10:10:00Z,How does AI upscaling work in Samsung TVs and is it better than LG’s version?,LG,LG,0.996,ner(org),
12,2025-10-20T10:11:00Z,I am getting sore eyes from watching tv. What can I do about this?,,,0.0,none,
13,2025-10-20T10:12:00Z,Is the LG C3 OLED worth the upgrade from the LG CX?,LG,,0.7,alias-only,
14,2025-10-20T10:13:00Z,What are some innovative formats for interactive documentaries?,,,0.0,none,
15,2025-10-20T10:14:00Z,What are the current trends in streaming services and how are they affecting traditional TV?,,,0.0,none,
16,2025-10-20T10:15:00Z,What are the ethical concerns around using AI to generate news articles?,,,0.0,none,
17,2025-10-20T10:16:00Z,What are the latest trends in smart TV technology from brands like Samsung and TCL?,Samsung,Samsung,0.999,ner(org),
18,2025-10-20T10:17:00Z,What are the most common issues users report with LG soundbars?,LG,LG,0.812,ner(org),
19,2025-10-20T10:18:00Z,What are the pros and cons of buying a soundbar vs a full home theater system?,,,0.0,none,
20,2025-10-20T10:19:00Z,What impact is AI having on journalism and news production?,,,0.0,none,
21,2025-10-20T10:20:00Z,What voice assistants are compatible with Sony TVs and how do they enhance media control?,Sony,Sony,0.889,ner(org),
22,2025-10-20T10:21:00Z,Which is better for home entertainment: Samsung QLED vs LG OLED TVs?,Samsung,Samsung,0.947,ner(org),
23,2025-10-20T10:22:00Z,Which is the best 65-inch TV under €1000 for watching sports?,,,0.0,none,
24,2025-10-20T10:23:00Z,Which tablet is best for streaming and media editing: iPad Pro or Samsung Galaxy Tab?,Apple,,0.7,alias-only,
25,2025-10-20T10:24:00Z,Why do people prefer short-form video content like TikTok over long-form formats?,,,0.0,none,
